"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R5,R4,R3,R2,R1";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";5;"10k";;;
2;"U4,U3,U2,U1";"SOIC-8_3.9x4.9mm_P1.27mm";4;"MAX31855KASA";;;
3;"J5,J4,J3,J2";"TerminalBlock_TE_282834-2_1x02_P2.54mm_Horizontal";4;"Screw_Terminal_01x02";;;
4;"FB8,FB7,FB6,FB5,FB4,FB3,FB2,FB1";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";8;"Ferrite_Bead_Small";;;
5;"C6,C5,C4,C3";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";4;"0.01 uF";;;
6;"C2,C1";"C_2312";2;"10uF_t";;;
7;"Logo1";"OSHW-Symbol_6.7x6mm_SilkScreen";1;"Logo_Open_Hardware_Small";;;
8;"H4,H3,H2,H1";"MountingHole_3.2mm_M3_DIN965_Pad";4;"MountingHole";;;
9;"A1";"Arduino_Nano";1;"Arduino_Nano_v3.x";;;
10;"J1";"PinSocket_1x10_P2.54mm_Horizontal";1;"Conn_01x10_Female";;;
